"playerId","fminsideId","known_name","long_name","year_birth","month_birth","day_birth","age","height_cm","weight_kg","jerseyNumber","country_code","sofifaId","position","Acceleration/speed","Dribbling","Aggression","Ball Control","Crossing","Decision Making","Finishing","Heading","Interceptions","Long Passing","Short Passing","Long Shots","Positioning and Marking","Tackling","Strength","Stamina","GK Diving/One to One","GK Handling","GK Kicking","GK Positioning","GK Reflexes","Height","bucket"
221820,14167329,"Lisandro Martínez","Lisandro  Martínez",1998,1,18,25,175,77,6,"ARG",239301,"CB",72.5,74.5,84,79,75,77.5,52,83,82,82,80,69,83,81.5,81,85,6,14,13,14,8,178,"Central_defenders"
221820,14167329,"Lisandro Martínez","Lisandro  Martínez",1998,1,18,25,175,77,6,"ARG",239301,"CB",72.5,74.5,84,79,75,77.5,52,83,82,82,80,69,83,81.5,81,85,6,14,13,14,8,178,"Central_defenders"
232937,28115834,"Brandon Williams","Brandon  Williams",2000,9,3,22,171,63,33,"ENG",243414,"LB",79,74,85,72,68,68,54,66.5,74,65,70,59.5,65,72,59,74,10,13,11,7,7,182,"Full_backs"
67089,63002306,"Martin Dúbravka","Martin  Dúbravka",1989,1,15,34,190,83,31,"SVK",220407,"GK",46,33,28,33,12,58.5,10,43,25,59,48,38,19,14.5,60,38,78,76,79,77,81,190,"Goalkeeper"
51940,67030171,"David de Gea","David  de Gea",1990,11,7,32,192,76,1,"ESP",193080,"GK",51,40.5,30,34,17,55.5,13,44,30,50,48,34.5,25,17,55,43,88,80,76,84,89,192,"Goalkeeper"
176297,28100266,"Marcus Rashford","Marcus  Rashford",1997,10,31,25,180,70,10,"ENG",231677,"LW",86.5,82.5,69,81,75,75.5,81,71,39,70,76,85,40,35.5,71,72,11,6,15,7,14,186,"Wingers"
195851,29125343,"Scott McTominay","Scott  McTominay",1996,12,8,26,193,88,39,"c(""SCO"", ""ENG"")",237238,"CDM",63,70.5,90,77,68,74.5,70,75.5,81,80,78,82.5,76,76.5,85,84,9,6,6,10,11,193,"Definsive_midfielders"
21205,5112064,"Tom Heaton","Tom David Heaton",1986,4,15,37,188,85,22,"ENG",163264,"GK",49,35.5,31,28,17,53,12,44.5,24,37,32,32.5,16,14,66,38,71,73,71,75,73,188,"Goalkeeper"
214590,28100123,"Aaron Wan-Bissaka","Aaron  Wan-Bissaka",1997,11,26,25,183,72,29,"ENG",229880,"RB",81.5,78,75,72,70,67.5,44,58.5,82,58,72,57,75,87,71,77,9,8,6,8,8,183,"Full_backs"
222690,37058363,"Tyrell Malacia","Tyrell  Malacia",1999,8,17,23,170,67,12,"NED",238041,"LB",84.5,81,77,75,71,62.5,50,72,77,56,76,63.5,74,81,72,83,9,9,12,8,8,169,"Full_backs"
180184,37048153,"Donny van de Beek","Donny  van de Beek",1997,4,18,26,184,76,34,"NED",221363,"CM",67,75.5,76,84,65,81.5,75,69.5,72,78,80,79.5,72,71.5,74,78,7,12,8,10,14,184,"Central_midfielders"
180184,37048153,"Donny van de Beek","Donny  van de Beek",1997,4,18,26,184,76,34,"NED",221363,"CM",67,75.5,76,84,65,81.5,75,69.5,72,78,80,79.5,72,71.5,74,78,7,12,8,10,14,184,"Central_midfielders"
232781,28115829,"Di'Shon Bernard","Di'Shon  Bernard",2000,10,14,22,189,80,58,"ENG",253034,"CB",67.5,56.5,69,58,36,55.5,40,71,66,63,62,39,67,68,84,77,8,8,7,14,13,189,"Central_defenders"
232781,28115829,"Di'Shon Bernard","Di'Shon  Bernard",2000,10,14,22,189,80,58,"ENG",253034,"CB",67.5,56.5,69,58,36,55.5,40,71,66,63,62,39,67,68,84,77,8,8,7,14,13,189,"Central_defenders"
106760,29076105,"Luke Shaw","Luke Paul Hoare Shaw",1995,7,12,28,185,75,23,"ENG",205988,"LB",75.5,74,85,80,82,80.5,44,79.5,78,70,80,64,79,79.5,77,72,10,12,13,7,7,181,"Full_backs"
216051,83105845,"Diogo Dalot","Diogo Dalot",1999,3,18,24,183,76,20,"POR",234574,"RB",79,79,80,77,77,72.5,52,77.5,74,68,78,71,71,75.5,75,78,10,6,10,6,8,184,"Full_backs"
184667,93023425,"Victor Lindelöf","Victor Jörgen Nilsson Lindelöf",1994,7,17,29,187,80,2,"SWE",221660,"CB",58.5,65,80,76,62,77.5,42,76.5,84,81,79,62,82,80.5,76,73,12,16,8,7,9,187,"Central_defenders"
184667,93023425,"Victor Lindelöf","Victor Jörgen Nilsson Lindelöf",1994,7,17,29,187,80,2,"SWE",221660,"CB",58.5,65,80,76,62,77.5,42,76.5,84,81,79,62,82,80.5,76,73,12,16,8,7,9,187,"Central_defenders"
209243,28108490,"Jadon Sancho","Jadon  Sancho",2000,3,25,23,180,76,25,"ENG",233049,"LW",81,90.5,44,88,80,85,77,44.5,39,70,86,68,32,35.5,62,66,7,11,10,11,13,180,"Wingers"
90152,85075627,"Raphaël Varane","Raphaël  Varane",1993,4,25,30,191,81,19,"FRA",201535,"CB",80.5,61.5,78,75,42,70.5,46,82.5,84,77,78,52.5,85,84.5,87,67,11,11,9,5,14,191,"Central_defenders"
